Infinitive,льсти́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,льстя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,льсти́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,льстя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,льсти́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,льсти́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,льщу́
2nd Sing,льсти́шь
3rd Sing,льсти́т
1st Pl,льсти́м
2nd Pl,льсти́те
3rd Pl,льстя́т
Past M,льсти́л
Past F,льсти́ла
Past N,льсти́ло
Past PL,льсти́ли
Imp S,льсти́
Imp PL,льсти́те
