Infinitive,льну́ть
Zaliznyak Class,3b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,льну́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,льну́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,льну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,льну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,льну́
2nd Sing,льнёшь
3rd Sing,льнёт
1st Pl,льнём
2nd Pl,льнёте
3rd Pl,льну́т
Past M,льну́л
Past F,льну́ла
Past N,льну́ло
Past PL,льну́ли
Imp S,льни́
Imp PL,льни́те
