Infinitive,ля́пнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ля́пнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ля́пнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ля́пнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ля́пнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ля́пну
2nd Sing,ля́пнешь
3rd Sing,ля́пнет
1st Pl,ля́пнем
2nd Pl,ля́пнете
3rd Pl,ля́пнут
Past M,ля́пнул
Past F,ля́пнула
Past N,ля́пнуло
Past PL,ля́пнули
Imp S,ля́пни
Imp PL,ля́пните
