Infinitive,ля́згать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ля́згающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ля́згавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ля́згая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ля́згав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ля́згавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ля́згаю
2nd Sing,ля́згаешь
3rd Sing,ля́згает
1st Pl,ля́згаем
2nd Pl,ля́згаете
3rd Pl,ля́згают
Past M,ля́згал
Past F,ля́згала
Past N,ля́згало
Past PL,ля́згали
Imp S,ля́згай
Imp PL,ля́згайте
