Infinitive,ля́згнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ля́згнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ля́згнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ля́згнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ля́згну
2nd Sing,ля́згнешь
3rd Sing,ля́згнет
1st Pl,ля́згнем
2nd Pl,ля́згнете
3rd Pl,ля́згнут
Past M,ля́згнул
Past F,ля́згнула
Past N,ля́згнуло
Past PL,ля́згнули
Imp S,ля́згни
Imp PL,ля́згните
