Infinitive,лягну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,лягну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,лягну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,лягну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,лягну́
2nd Sing,лягнёшь
3rd Sing,лягнёт
1st Pl,лягнём
2nd Pl,лягнёте
3rd Pl,лягну́т
Past M,лягну́л
Past F,лягну́ла
Past N,лягну́ло
Past PL,лягну́ли
Imp S,лягни́
Imp PL,лягни́те
