Infinitive,козырну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,козырну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,козырну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,козырну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,козырну́
2nd Sing,козырнёшь
3rd Sing,козырнёт
1st Pl,козырнём
2nd Pl,козырнёте
3rd Pl,козырну́т
Past M,козырну́л
Past F,козырну́ла
Past N,козырну́ло
Past PL,козырну́ли
Imp S,козырни́
Imp PL,козырни́те
