Infinitive,коси́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,коси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,коси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кошу́сь
2nd Sing,коси́шься
3rd Sing,коси́тся
1st Pl,коси́мся
2nd Pl,коси́тесь
3rd Pl,кося́тся
Past M,коси́лся
Past F,коси́лась
Past N,коси́лось
Past PL,коси́лись
Imp S,коси́сь
Imp PL,коси́тесь
