Infinitive,копи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,копя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,копи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,копя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,копи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,коплю́сь
2nd Sing,ко́пишься
3rd Sing,ко́пится
1st Pl,ко́пимся
2nd Pl,ко́питесь
3rd Pl,ко́пятся
Past M,копи́лся
Past F,копи́лась
Past N,копи́лось
Past PL,копи́лись
Imp S,копи́сь
Imp PL,копи́тесь
