Infinitive,конча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,конча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,конча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,конча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,конча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,конча́юсь
2nd Sing,конча́ешься
3rd Sing,конча́ется
1st Pl,конча́емся
2nd Pl,конча́етесь
3rd Pl,конча́ются
Past M,конча́лся
Past F,конча́лась
Past N,конча́лось
Past PL,конча́лись
Imp S,конча́йся
Imp PL,конча́йтесь
