Infinitive,колоти́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,колотя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,колоти́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,колотя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,колоти́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,колочу́сь
2nd Sing,коло́тишься
3rd Sing,коло́тится
1st Pl,коло́тимся
2nd Pl,коло́титесь
3rd Pl,коло́тятся
Past M,колоти́лся
Past F,колоти́лась
Past N,колоти́лось
Past PL,колоти́лись
Imp S,колоти́сь
Imp PL,колоти́тесь
