Infinitive,козыря́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,козыря́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,козыря́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,козыря́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,козыря́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,козыря́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,козыря́ю
2nd Sing,козыря́ешь
3rd Sing,козыря́ет
1st Pl,козыря́ем
2nd Pl,козыря́ете
3rd Pl,козыря́ют
Past M,козыря́л
Past F,козыря́ла
Past N,козыря́ло
Past PL,козыря́ли
Imp S,козыря́й
Imp PL,козыря́йте
