Infinitive,конкури́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,конкури́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,конкури́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,конкури́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,конкури́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,конкури́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,конкури́рую
2nd Sing,конкури́руешь
3rd Sing,конкури́рует
1st Pl,конкури́руем
2nd Pl,конкури́руете
3rd Pl,конкури́руют
Past M,конкури́ровал
Past F,конкури́ровала
Past N,конкури́ровало
Past PL,конкури́ровали
Imp S,конкури́руй
Imp PL,конкури́руйте
