Infinitive,колыха́ть
Zaliznyak Class,6a // 1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,колы́шущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,колыха́ющий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,колыха́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,колыха́емый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,колы́ханный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,колыха́я
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,short
PART:6:Participle Text,колы́ша
PART:6:Participle Type,adverbial
PART:6:Participle Tense,present
PART:6:Participle Long or Short,long
PART:7:Participle Text,колыха́в
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,short
PART:8:Participle Text,колыха́вши
PART:8:Participle Type,adverbial
PART:8:Participle Tense,past
PART:8:Participle Long or Short,long
1st Sing,колы́шу
2nd Sing,колы́шешь
3rd Sing,колы́шет
1st Pl,колы́шем
2nd Pl,колы́шете
3rd Pl,колы́шут
Past M,колыха́л
Past F,колыха́ла
Past N,колыха́ло
Past PL,колыха́ли
Imp S,колыха́й
Imp PL,колыха́йте
