Infinitive,ковыря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ковыря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ковыря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ковыря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ковыря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ковыря́юсь
2nd Sing,ковыря́ешься
3rd Sing,ковыря́ется
1st Pl,ковыря́емся
2nd Pl,ковыря́етесь
3rd Pl,ковыря́ются
Past M,ковыря́лся
Past F,ковыря́лась
Past N,ковыря́лось
Past PL,ковыря́лись
Imp S,ковыря́йся
Imp PL,ковыря́йтесь
