Infinitive,копоши́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,копоша́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,копоши́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,копоша́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,копоши́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,копошу́сь
2nd Sing,копоши́шься
3rd Sing,копоши́тся
1st Pl,копоши́мся
2nd Pl,копоши́тесь
3rd Pl,копоша́тся
Past M,копоши́лся
Past F,копоши́лась
Past N,копоши́лось
Past PL,копоши́лись
Imp S,копоши́сь
Imp PL,копоши́тесь
