Infinitive,кочева́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кочу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кочева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кочу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кочева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кочева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,кочу́ю
2nd Sing,кочу́ешь
3rd Sing,кочу́ет
1st Pl,кочу́ем
2nd Pl,кочу́ете
3rd Pl,кочу́ют
Past M,кочева́л
Past F,кочева́ла
Past N,кочева́ло
Past PL,кочева́ли
Imp S,кочу́й
Imp PL,кочу́йте
