Infinitive,коло́ться
Zaliznyak Class,10c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ко́лющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,коло́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,коля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,коло́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,колю́сь
2nd Sing,ко́лешься
3rd Sing,ко́лется
1st Pl,ко́лемся
2nd Pl,ко́летесь
3rd Pl,ко́лются
Past M,коло́лся
Past F,коло́лась
Past N,коло́лось
Past PL,коло́лись
Imp S,коли́сь
Imp PL,коли́тесь
