Infinitive,ко́нчиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ко́нчившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ко́нчившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ко́нчусь
2nd Sing,ко́нчишься
3rd Sing,ко́нчится
1st Pl,ко́нчимся
2nd Pl,ко́нчитесь
3rd Pl,ко́нчатся
Past M,ко́нчился
Past F,ко́нчилась
Past N,ко́нчилось
Past PL,ко́нчились
Imp S,ко́нчись
Imp PL,ко́нчитесь
