Infinitive,компенси́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,компенси́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,компенси́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,компенси́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,компенси́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,компенси́руюсь
2nd Sing,компенси́руешься
3rd Sing,компенси́руется
1st Pl,компенси́руемся
2nd Pl,компенси́руетесь
3rd Pl,компенси́руются
Past M,компенси́ровался
Past F,компенси́ровалась
Past N,компенси́ровалось
Past PL,компенси́ровались
Imp S,компенси́руйся
Imp PL,компенси́руйтесь
