Infinitive,колеси́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,колеся́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,колеси́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,колеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,колеси́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,колеси́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,колешу́
2nd Sing,колеси́шь
3rd Sing,колеси́т
1st Pl,колеси́м
2nd Pl,колеси́те
3rd Pl,колеся́т
Past M,колеси́л
Past F,колеси́ла
Past N,колеси́ло
Past PL,колеси́ли
Imp S,колеси́
Imp PL,колеси́те
