Infinitive,конту́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,конту́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,конту́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,конту́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,конту́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,конту́жу
2nd Sing,конту́зишь
3rd Sing,конту́зит
1st Pl,конту́зим
2nd Pl,конту́зите
3rd Pl,конту́зят
Past M,конту́зил
Past F,конту́зила
Past N,конту́зило
Past PL,конту́зили
Imp S,конту́зь
Imp PL,конту́зьте
