Infinitive,коллекциони́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,коллекциони́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,коллекциони́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,коллекциони́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,коллекциони́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,коллекциони́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,коллекциони́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,коллекциони́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,коллекциони́рую
2nd Sing,коллекциони́руешь
3rd Sing,коллекциони́рует
1st Pl,коллекциони́руем
2nd Pl,коллекциони́руете
3rd Pl,коллекциони́руют
Past M,коллекциони́ровал
Past F,коллекциони́ровала
Past N,коллекциони́ровало
Past PL,коллекциони́ровали
Imp S,коллекциони́руй
Imp PL,коллекциони́руйте
