Infinitive,ко́рчить
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ко́рчащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ко́рчивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ко́рчимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ко́рченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ко́рча
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ко́рчив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ко́рчивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ко́рчу
2nd Sing,ко́рчишь
3rd Sing,ко́рчит
1st Pl,ко́рчим
2nd Pl,ко́рчите
3rd Pl,ко́рчат
Past M,ко́рчил
Past F,ко́рчила
Past N,ко́рчило
Past PL,ко́рчили
Imp S,ко́рчи
Imp PL,ко́рчите
