Infinitive,кольну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кольну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,кольну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,кольну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,кольну́
2nd Sing,кольнёшь
3rd Sing,кольнёт
1st Pl,кольнём
2nd Pl,кольнёте
3rd Pl,кольну́т
Past M,кольну́л
Past F,кольну́ла
Past N,кольну́ло
Past PL,кольну́ли
Imp S,кольни́
Imp PL,кольни́те
