Infinitive,коти́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,коти́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,коти́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,коти́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,коти́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,коти́руюсь
2nd Sing,коти́руешься
3rd Sing,коти́руется
1st Pl,коти́руемся
2nd Pl,коти́руетесь
3rd Pl,коти́руются
Past M,коти́ровался
Past F,коти́ровалась
Past N,коти́ровалось
Past PL,коти́ровались
Imp S,коти́руйся
Imp PL,коти́руйтесь
