Infinitive,ко́рчиться
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ко́рчащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ко́рчившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ко́рчась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ко́рчившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ко́рчусь
2nd Sing,ко́рчишься
3rd Sing,ко́рчится
1st Pl,ко́рчимся
2nd Pl,ко́рчитесь
3rd Pl,ко́рчатся
Past M,ко́рчился
Past F,ко́рчилась
Past N,ко́рчилось
Past PL,ко́рчились
Imp S,ко́рчись
Imp PL,ко́рчитесь
