Infinitive,ковыля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ковыля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ковыля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ковыля́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ковыля́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ковыля́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ковыля́ю
2nd Sing,ковыля́ешь
3rd Sing,ковыля́ет
1st Pl,ковыля́ем
2nd Pl,ковыля́ете
3rd Pl,ковыля́ют
Past M,ковыля́л
Past F,ковыля́ла
Past N,ковыля́ло
Past PL,ковыля́ли
Imp S,ковыля́й
Imp PL,ковыля́йте
