Infinitive,косну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,косну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,косну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,косну́сь
2nd Sing,коснёшься
3rd Sing,коснётся
1st Pl,коснёмся
2nd Pl,коснётесь
3rd Pl,косну́тся
Past M,косну́лся
Past F,косну́лась
Past N,косну́лось
Past PL,косну́лись
Imp S,косни́сь
Imp PL,косни́тесь
