Infinitive,конкретизи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,конкретизи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,конкретизи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,конкретизи́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,конкретизи́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,конкретизи́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,конкретизи́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,конкретизи́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,конкретизи́рую
2nd Sing,конкретизи́руешь
3rd Sing,конкретизи́рует
1st Pl,конкретизи́руем
2nd Pl,конкретизи́руете
3rd Pl,конкретизи́руют
Past M,конкретизи́ровал
Past F,конкретизи́ровала
Past N,конкретизи́ровало
Past PL,конкретизи́ровали
Imp S,конкретизи́руй
Imp PL,конкретизи́руйте
