Infinitive,контакти́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,контакти́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,контакти́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,контакти́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,контакти́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,контакти́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,контакти́рую
2nd Sing,контакти́руешь
3rd Sing,контакти́рует
1st Pl,контакти́руем
2nd Pl,контакти́руете
3rd Pl,контакти́руют
Past M,контакти́ровал
Past F,контакти́ровала
Past N,контакти́ровало
Past PL,контакти́ровали
Imp S,контакти́руй
Imp PL,контакти́руйте
