Infinitive,кова́ть
Zaliznyak Class,2b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кую́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ко́ванный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,куя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,кова́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,кова́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,кую́
2nd Sing,куёшь
3rd Sing,куёт
1st Pl,куём
2nd Pl,куёте
3rd Pl,кую́т
Past M,кова́л
Past F,кова́ла
Past N,кова́ло
Past PL,кова́ли
Imp S,ку́й
Imp PL,ку́йте
