Infinitive,копну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,копну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,копну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,копну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,копну́
2nd Sing,копнёшь
3rd Sing,копнёт
1st Pl,копнём
2nd Pl,копнёте
3rd Pl,копну́т
Past M,копну́л
Past F,копну́ла
Past N,копну́ло
Past PL,копну́ли
Imp S,копни́
Imp PL,копни́те
