Infinitive,копи́ть
Zaliznyak Class,4c[④]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,копя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ко́пящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,копи́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,копи́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ко́пленный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,копя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,копи́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,копи́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,коплю́
2nd Sing,ко́пишь
3rd Sing,ко́пит
1st Pl,ко́пим
2nd Pl,ко́пите
3rd Pl,ко́пят
Past M,копи́л
Past F,копи́ла
Past N,копи́ло
Past PL,копи́ли
Imp S,копи́
Imp PL,копи́те
