Infinitive,концентри́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,концентри́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,концентри́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,концентри́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,концентри́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,концентри́руюсь
2nd Sing,концентри́руешься
3rd Sing,концентри́руется
1st Pl,концентри́руемся
2nd Pl,концентри́руетесь
3rd Pl,концентри́руются
Past M,концентри́ровался
Past F,концентри́ровалась
Past N,концентри́ровалось
Past PL,концентри́ровались
Imp S,концентри́руйся
Imp PL,концентри́руйтесь
