Infinitive,конфу́зиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,конфу́зящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,конфу́зившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,конфу́зясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,конфу́зившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,конфу́жусь
2nd Sing,конфу́зишься
3rd Sing,конфу́зится
1st Pl,конфу́зимся
2nd Pl,конфу́зитесь
3rd Pl,конфу́зятся
Past M,конфу́зился
Past F,конфу́зилась
Past N,конфу́зилось
Past PL,конфу́зились
Imp S,конфу́зься
Imp PL,конфу́зьтесь
