Infinitive,корени́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кореня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,корени́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кореня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,корени́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кореню́сь
2nd Sing,корени́шься
3rd Sing,корени́тся
1st Pl,корени́мся
2nd Pl,корени́тесь
3rd Pl,кореня́тся
Past M,корени́лся
Past F,корени́лась
Past N,корени́лось
Past PL,корени́лись
Imp S,корени́сь
Imp PL,корени́тесь
