Infinitive,контрасти́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,контрасти́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,контрасти́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,контрасти́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,контрасти́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,контрасти́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,контрасти́рую
2nd Sing,контрасти́руешь
3rd Sing,контрасти́рует
1st Pl,контрасти́руем
2nd Pl,контрасти́руете
3rd Pl,контрасти́руют
Past M,контрасти́ровал
Past F,контрасти́ровала
Past N,контрасти́ровало
Past PL,контрасти́ровали
Imp S,контрасти́руй
Imp PL,контрасти́руйте
