Infinitive,колыхну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,колыхну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,колыхну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,колыхну́сь
2nd Sing,колыхнёшься
3rd Sing,колыхнётся
1st Pl,колыхнёмся
2nd Pl,колыхнётесь
3rd Pl,колыхну́тся
Past M,колыхну́лся
Past F,колыхну́лась
Past N,колыхну́лось
Past PL,колыхну́лись
Imp S,колыхни́сь
Imp PL,колыхни́тесь
