Infinitive,колеба́ться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,коле́блющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,колеба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,коле́блясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,колеба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,коле́блюсь
2nd Sing,коле́блешься
3rd Sing,коле́блется
1st Pl,коле́блемся
2nd Pl,коле́блетесь
3rd Pl,коле́блются
Past M,колеба́лся
Past F,колеба́лась
Past N,колеба́лось
Past PL,колеба́лись
Imp S,коле́блись
Imp PL,коле́блитесь
