Infinitive,копа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,копа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,копа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,копа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,копа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,копа́юсь
2nd Sing,копа́ешься
3rd Sing,копа́ется
1st Pl,копа́емся
2nd Pl,копа́етесь
3rd Pl,копа́ются
Past M,копа́лся
Past F,копа́лась
Past N,копа́лось
Past PL,копа́лись
Imp S,копа́йся
Imp PL,копа́йтесь
