Infinitive,контроли́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,контроли́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,контроли́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,контроли́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,контроли́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,контроли́руюсь
2nd Sing,контроли́руешься
3rd Sing,контроли́руется
1st Pl,контроли́руемся
2nd Pl,контроли́руетесь
3rd Pl,контроли́руются
Past M,контроли́ровался
Past F,контроли́ровалась
Past N,контроли́ровалось
Past PL,контроли́ровались
Imp S,контроли́руйся
Imp PL,контроли́руйтесь
