Infinitive,коке́тничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,коке́тничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,коке́тничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,коке́тничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,коке́тничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,коке́тничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,коке́тничаю
2nd Sing,коке́тничаешь
3rd Sing,коке́тничает
1st Pl,коке́тничаем
2nd Pl,коке́тничаете
3rd Pl,коке́тничают
Past M,коке́тничал
Past F,коке́тничала
Past N,коке́тничало
Past PL,коке́тничали
Imp S,коке́тничай
Imp PL,коке́тничайте
