Infinitive,корпе́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,корпя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,корпе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,корпя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,корпе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,корпе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,корплю́
2nd Sing,корпи́шь
3rd Sing,корпи́т
1st Pl,корпи́м
2nd Pl,корпи́те
3rd Pl,корпя́т
Past M,корпе́л
Past F,корпе́ла
Past N,корпе́ло
Past PL,корпе́ли
Imp S,корпи́
Imp PL,корпи́те
