Infinitive,спа́ть
Zaliznyak Class,5b/c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,спа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сплю́
2nd Sing,спи́шь
3rd Sing,спи́т
1st Pl,спи́м
2nd Pl,спи́те
3rd Pl,спя́т
Past M,спа́л
Past F,спала́
Past N,спа́ло
Past PL,спа́ли
Imp S,спи́
Imp PL,спи́те
