Infinitive,спили́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спили́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спи́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спили́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спили́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спилю́
2nd Sing,спи́лишь
3rd Sing,спи́лит
1st Pl,спи́лим
2nd Pl,спи́лите
3rd Pl,спи́лят
Past M,спили́л
Past F,спили́ла
Past N,спили́ло
Past PL,спили́ли
Imp S,спили́
Imp PL,спили́те
