Infinitive,спляса́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спляса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спля́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спляса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спляса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спляшу́
2nd Sing,спля́шешь
3rd Sing,спля́шет
1st Pl,спля́шем
2nd Pl,спля́шете
3rd Pl,спля́шут
Past M,спляса́л
Past F,спляса́ла
Past N,спляса́ло
Past PL,спляса́ли
Imp S,спляши́
Imp PL,спляши́те
