Infinitive,спива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спива́юсь
2nd Sing,спива́ешься
3rd Sing,спива́ется
1st Pl,спива́емся
2nd Pl,спива́етесь
3rd Pl,спива́ются
Past M,спива́лся
Past F,спива́лась
Past N,спива́лось
Past PL,спива́лись
Imp S,спива́йся
Imp PL,спива́йтесь
