Infinitive,спусти́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спусти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спусти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,спустя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,спущу́сь
2nd Sing,спу́стишься
3rd Sing,спу́стится
1st Pl,спу́стимся
2nd Pl,спу́ститесь
3rd Pl,спу́стятся
Past M,спусти́лся
Past F,спусти́лась
Past N,спусти́лось
Past PL,спусти́лись
Imp S,спусти́сь
Imp PL,спусти́тесь
