Infinitive,спи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спи́сываюсь
2nd Sing,спи́сываешься
3rd Sing,спи́сывается
1st Pl,спи́сываемся
2nd Pl,спи́сываетесь
3rd Pl,спи́сываются
Past M,спи́сывался
Past F,спи́сывалась
Past N,спи́сывалось
Past PL,спи́сывались
Imp S,спи́сывайся
Imp PL,спи́сывайтесь
