Infinitive,спя́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спя́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спя́тив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,спя́тивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,спя́чу
2nd Sing,спя́тишь
3rd Sing,спя́тит
1st Pl,спя́тим
2nd Pl,спя́тите
3rd Pl,спя́тят
Past M,спя́тил
Past F,спя́тила
Past N,спя́тило
Past PL,спя́тили
Imp S,спя́ть
Imp PL,спя́тьте
