Infinitive,сползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сползу́
2nd Sing,сползёшь
3rd Sing,сползёт
1st Pl,сползём
2nd Pl,сползёте
3rd Pl,сползу́т
Past M,спо́лз
Past F,сползла́
Past N,сползло́
Past PL,сползли́
Imp S,сползи́
Imp PL,сползи́те
