Infinitive,спры́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спры́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спры́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спры́гивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спры́гивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,спры́гивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,спры́гиваю
2nd Sing,спры́гиваешь
3rd Sing,спры́гивает
1st Pl,спры́гиваем
2nd Pl,спры́гиваете
3rd Pl,спры́гивают
Past M,спры́гивал
Past F,спры́гивала
Past N,спры́гивало
Past PL,спры́гивали
Imp S,спры́гивай
Imp PL,спры́гивайте
