Infinitive,спасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спа́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спасённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спа́сши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,спасу́
2nd Sing,спасёшь
3rd Sing,спасёт
1st Pl,спасём
2nd Pl,спасёте
3rd Pl,спасу́т
Past M,спа́с
Past F,спасла́
Past N,спасло́
Past PL,спасли́
Imp S,спаси́
Imp PL,спаси́те
