Infinitive,спу́таться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спу́тавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спу́тавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спу́таюсь
2nd Sing,спу́таешься
3rd Sing,спу́тается
1st Pl,спу́таемся
2nd Pl,спу́таетесь
3rd Pl,спу́таются
Past M,спу́тался
Past F,спу́талась
Past N,спу́талось
Past PL,спу́тались
Imp S,спу́тайся
Imp PL,спу́тайтесь
