Infinitive,спаса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спаса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спаса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спаса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спаса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спаса́юсь
2nd Sing,спаса́ешься
3rd Sing,спаса́ется
1st Pl,спаса́емся
2nd Pl,спаса́етесь
3rd Pl,спаса́ются
Past M,спаса́лся
Past F,спаса́лась
Past N,спаса́лось
Past PL,спаса́лись
Imp S,спаса́йся
Imp PL,спаса́йтесь
