Infinitive,споро́ть
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,споро́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спо́ротый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,споро́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,споро́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спорю́
2nd Sing,спо́решь
3rd Sing,спо́рет
1st Pl,спо́рем
2nd Pl,спо́рете
3rd Pl,спо́рют
Past M,споро́л
Past F,споро́ла
Past N,споро́ло
Past PL,споро́ли
Imp S,спори́
Imp PL,спори́те
