Infinitive,спуска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спуска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,спуска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спуска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,спуска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спуска́юсь
2nd Sing,спуска́ешься
3rd Sing,спуска́ется
1st Pl,спуска́емся
2nd Pl,спуска́етесь
3rd Pl,спуска́ются
Past M,спуска́лся
Past F,спуска́лась
Past N,спуска́лось
Past PL,спуска́лись
Imp S,спуска́йся
Imp PL,спуска́йтесь
