Infinitive,спрессова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спрессова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спрессо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спрессова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спрессова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спрессу́ю
2nd Sing,спрессу́ешь
3rd Sing,спрессу́ет
1st Pl,спрессу́ем
2nd Pl,спрессу́ете
3rd Pl,спрессу́ют
Past M,спрессова́л
Past F,спрессова́ла
Past N,спрессова́ло
Past PL,спрессова́ли
Imp S,спрессу́й
Imp PL,спрессу́йте
