Infinitive,спи́ться
Zaliznyak Class,11*b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сопью́сь
2nd Sing,сопьёшься
3rd Sing,сопьётся
1st Pl,сопьёмся
2nd Pl,сопьётесь
3rd Pl,сопью́тся
Past M,спи́лся
Past F,спила́сь
Past N,спило́сь
Past PL,спили́сь
Imp S,спе́йся
Imp PL,спе́йтесь
