Infinitive,спохвати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,спохвати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спохвати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,спохвачу́сь
2nd Sing,спохва́тишься
3rd Sing,спохва́тится
1st Pl,спохва́тимся
2nd Pl,спохва́титесь
3rd Pl,спохва́тятся
Past M,спохвати́лся
Past F,спохвати́лась
Past N,спохвати́лось
Past PL,спохвати́лись
Imp S,спохвати́сь
Imp PL,спохвати́тесь
