Infinitive,сплю́щить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сплю́щивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сплю́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сплю́щив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сплю́щивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сплю́щу
2nd Sing,сплю́щишь
3rd Sing,сплю́щит
1st Pl,сплю́щим
2nd Pl,сплю́щите
3rd Pl,сплю́щат
Past M,сплю́щил
Past F,сплю́щила
Past N,сплю́щило
Past PL,сплю́щили
Imp S,сплю́щи
Imp PL,сплю́щьте
