Infinitive,спроекти́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,спроекти́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спроекти́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,спроекти́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,спроекти́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,спроекти́рую
2nd Sing,спроекти́руешь
3rd Sing,спроекти́рует
1st Pl,спроекти́руем
2nd Pl,спроекти́руете
3rd Pl,спроекти́руют
Past M,спроекти́ровал
Past F,спроекти́ровала
Past N,спроекти́ровало
Past PL,спроекти́ровали
Imp S,спроекти́руй
Imp PL,спроекти́руйте
