Infinitive,спа́сть
Zaliznyak Class,7b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,спа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,спа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,спа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,спаду́
2nd Sing,спадёшь
3rd Sing,спадёт
1st Pl,спадём
2nd Pl,спадёте
3rd Pl,спаду́т
Past M,спа́л
Past F,спа́ла
Past N,спа́ло
Past PL,спа́ли
Imp S,спади́
Imp PL,спади́те
